,Decorrelation Factor,Max. Samples Averaged,Number of Visibilities,Average Amplitude of Visibilities
0,1.1,200.0,561067200.0,4.6548917619560885e-05
1,1.002,400.0,4561910400.0,4.999125605507914e-05
2,1.0001,200.0,9690145200.0,4.999967568045953e-05
3,1.003,400.0,2804023200.0,4.992129324608232e-05
4,1.005,100.0,1998811200.0,4.9778956620349155e-05
5,1.015,400.0,1248008400.0,4.936010208705263e-05
6,1.005,600.0,1957185600.0,4.977335495390568e-05
7,1.001,400.0,6733040400.0,4.999925059881194e-05
8,1.002,600.0,4561088400.0,4.99912533478469e-05
9,1.001,100.0,6735926400.0,4.9999251166378305e-05
10,1.003,600.0,2801649600.0,4.9921203489733356e-05
11,1.015,100.0,1294549200.0,4.938655799857872e-05
12,1.015,600.0,1241266800.0,4.9355938708614127e-05
13,1.003,100.0,2835438000.0,4.992243197624785e-05
14,1.15,200.0,479556000.0,4.526846517204377e-05
15,1.005,400.0,1960904400.0,4.9773891430492776e-05
16,1.002,100.0,4577612400.0,4.9991309070939045e-05
17,1.001,600.0,6732990000.0,4.999925058764846e-05
18,1.01,200.0,1494834000.0,4.9567331253534885e-05
19,1.0001,600.0,9690142800.0,4.999967568033755e-05
20,1.1,600.0,537276000.0,4.6374154918539206e-05
21,1.01,400.0,1485926400.0,4.95641640655712e-05
22,1.1,100.0,609871200.0,4.685719241574233e-05
23,1.0001,100.0,9690290400.0,4.999967568600884e-05
24,1.005,200.0,1968415200.0,4.9774987698632377e-05
25,1.15,400.0,465356400.0,4.510022760658516e-05
26,1.15,100.0,530024400.0,4.5765507965616306e-05
27,1.003,200.0,2809309200.0,4.9921511808745245e-05
28,1.0001,400.0,9690142800.0,4.9999675680338496e-05
29,1.002,200.0,4563924000.0,4.999126339401772e-05
30,1.01,100.0,1529101200.0,4.957843040960422e-05
31,1.1,400.0,547722000.0,4.6451163253882295e-05
32,1.01,600.0,1480450800.0,4.956218043373497e-05
33,1.001,200.0,6733298400.0,4.999925065826499e-05
34,1.15,600.0,454156800.0,4.4965821009318684e-05
35,1.015,200.0,1257681600.0,4.9365986135841604e-05
